scheme,capacity,rate,revoked,distribution,workload_seed,cover_nodes,public_state_bytes,authority_refresh_ms,verified,measurement,state_semantics,token_bytes
HiddenCover,1048576,0.01,10486,dispersed,9.0,68814.0,2202160,45.9136,True,9,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,dispersed,10.0,68814.0,2202160,61.7368,True,10,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,dispersed,11.0,68814.0,2202160,48.747600000000006,True,11,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,dispersed,12.0,68814.0,2202160,44.9145,True,12,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,dispersed,13.0,68814.0,2202160,46.09739999999999,True,13,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,dispersed,14.0,68814.0,2202160,47.1739,True,14,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,dispersed,15.0,68814.0,2202160,44.2934,True,15,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,dispersed,16.0,68814.0,2202160,46.912,True,16,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,dispersed,17.0,68814.0,2202160,45.7324,True,17,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,dispersed,18.0,68814.0,2202160,45.1936,True,18,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.01,10486,dispersed,19.0,68814.0,2202160,45.2011,True,19,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,clustered,0.0,20.0,752,3.7116,True,0,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,clustered,1.0,15.0,592,1.8535,True,1,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,clustered,2.0,23.0,848,2.5846,True,2,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,clustered,3.0,23.0,848,1.8563,True,3,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,clustered,4.0,20.0,752,1.843,True,4,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,clustered,5.0,20.0,752,1.8995,True,5,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,clustered,6.0,17.0,656,1.7411,True,6,authenticated Complete-Subtree Cover,
