scheme,capacity,revoked,distribution,workload_seed,measurement,cover_nodes,holder_upload_bytes,holder_download_bytes,holder_compute_ms,server_per_holder_ms,verified,zero_semantics
HiddenCover,16384,10,clustered,2.0,28,16.0,0,624,0.0295,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,2.0,29,16.0,0,624,0.0291,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,3.0,0,13.0,0,528,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,3.0,1,13.0,0,528,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,3.0,2,13.0,0,528,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,3.0,3,13.0,0,528,0.029,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,3.0,4,13.0,0,528,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,3.0,5,13.0,0,528,0.0289,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,3.0,6,13.0,0,528,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,3.0,7,13.0,0,528,0.0287,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,3.0,8,13.0,0,528,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,3.0,9,13.0,0,528,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,3.0,10,13.0,0,528,0.0292,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,3.0,11,13.0,0,528,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,3.0,12,13.0,0,528,0.0287,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,3.0,13,13.0,0,528,0.0287,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,3.0,14,13.0,0,528,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,3.0,15,13.0,0,528,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,3.0,16,13.0,0,528,0.0292,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,3.0,17,13.0,0,528,0.0287,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,3.0,18,13.0,0,528,0.0289,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,3.0,19,13.0,0,528,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,3.0,20,13.0,0,528,0.0287,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,3.0,21,13.0,0,528,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,3.0,22,13.0,0,528,0.0292,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,3.0,23,13.0,0,528,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,3.0,24,13.0,0,528,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,3.0,25,13.0,0,528,0.0287,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,3.0,26,13.0,0,528,0.0287,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,3.0,27,13.0,0,528,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,3.0,28,13.0,0,528,0.0292,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,3.0,29,13.0,0,528,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,4.0,0,14.0,0,560,0.0287,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,4.0,1,14.0,0,560,0.0286,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,4.0,2,14.0,0,560,0.0291,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,4.0,3,14.0,0,560,0.0287,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,4.0,4,14.0,0,560,0.0289,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,4.0,5,14.0,0,560,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,4.0,6,14.0,0,560,0.0287,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,4.0,7,14.0,0,560,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,4.0,8,14.0,0,560,0.0291,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,4.0,9,14.0,0,560,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,4.0,10,14.0,0,560,0.0287,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,4.0,11,14.0,0,560,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,4.0,12,14.0,0,560,0.0292,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,4.0,13,14.0,0,560,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,4.0,14,14.0,0,560,0.0291,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,4.0,15,14.0,0,560,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,4.0,16,14.0,0,560,0.0287,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,4.0,17,14.0,0,560,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,4.0,18,14.0,0,560,0.0289,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,4.0,19,14.0,0,560,0.0291,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,4.0,20,14.0,0,560,0.0287,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,4.0,21,14.0,0,560,0.0288,0.0,True,no private request; no individualized server witness update
