scheme,cover_nodes,padded_set_size,measurement,presentation_bytes,show_ms,verify_ms,state_check_ms,match_ms,credential_bridge_ms,cover_transform_ms,oom_ms,verified,protocol_payload_bytes,m,k,revoked,json_wire_bytes,proof_bytes
HiddenCover,32,32,21,1226,32.0017,19.2101,0.0519,9.99999999999e-05,1.7954,7.1838,22.9675,True,1226,,,,,1226
HiddenCover,32,32,22,1226,30.5689,18.0292,0.0492,9.99999999999e-05,1.8557,6.9908,21.6675,True,1226,,,,,1226
HiddenCover,32,32,23,1226,31.8801,19.4337,0.0511999999999999,9.99999999999e-05,1.7933,6.464,23.5662,True,1226,,,,,1226
HiddenCover,32,32,24,1226,32.010200000000005,18.796,0.0533999999999999,0.0005,2.2269,6.8616,22.864700000000003,True,1226,,,,,1226
HiddenCover,32,32,25,1226,33.4203,19.0368,0.0545,9.99999999999e-05,2.115,8.5686,22.6784,True,1226,,,,,1226
HiddenCover,32,32,26,1226,33.3831,19.9016,0.0513,9.99999999999e-05,2.6324,6.3119,24.3839,True,1226,,,,,1226
HiddenCover,32,32,27,1226,38.2848,18.3586,0.0826,0.0003,2.4126,5.9648,29.8181,True,1226,,,,,1226
HiddenCover,32,32,28,1226,30.6119,17.5353,0.05,9.99999999999e-05,1.9354,6.9241,21.6993,True,1226,,,,,1226
HiddenCover,32,32,29,1226,34.0757,22.1782,0.0526,9.99999999999e-05,1.7929,6.295,25.9313,True,1226,,,,,1226
HiddenCover,64,64,0,1306,63.67680000000001,29.2501,0.0595,0.0001999999999999,1.9183,10.7522,50.9423,True,1306,,,,,1306
HiddenCover,64,64,1,1306,62.5975,28.6921,0.0671,0.0001999999999999,1.8144,11.4714,49.2411,True,1306,,,,,1306
HiddenCover,64,64,2,1306,57.5575,29.3686,0.0586,0.0007,1.9121,11.7165,43.866,True,1306,,,,,1306
HiddenCover,64,64,3,1306,63.5977,28.12,0.0578,9.99999999999e-05,1.808,11.6226,50.1036,True,1306,,,,,1306
HiddenCover,64,64,4,1306,62.6992,28.6919,0.0573,9.99999999999e-05,2.99,10.9858,48.661,True,1306,,,,,1306
HiddenCover,64,64,5,1306,57.9423,29.7509,0.0573,0.0001999999999999,1.8587,11.3944,44.6266,True,1306,,,,,1306
HiddenCover,64,64,6,1306,58.0407,33.2364,0.0579,0.0001999999999999,1.9239,11.3059,44.7478,True,1306,,,,,1306
HiddenCover,64,64,7,1306,58.4463,29.7158,0.0762999999999999,0.0001999999999999,2.479,10.4009,45.484,True,1306,,,,,1306
HiddenCover,64,64,8,1306,61.95,27.733,0.0571,0.0001999999999999,2.0323,13.0028,46.8516,True,1306,,,,,1306
HiddenCover,64,64,9,1306,59.174200000000006,29.2969,0.0564999999999999,0.0003,1.9929,12.0451,45.0746,True,1306,,,,,1306
HiddenCover,64,64,10,1306,57.4417,30.2388,0.0448,0.0001999999999999,1.9238,10.4744,44.9949,True,1306,,,,,1306
HiddenCover,64,64,11,1306,58.1462,31.0144,0.0564999999999999,9.99999999999e-05,1.8327,11.7641,44.4896,True,1306,,,,,1306
HiddenCover,64,64,12,1306,59.3803,28.5782,0.0572,9.99999999999e-05,1.772,11.5859,45.9599,True,1306,,,,,1306
HiddenCover,64,64,13,1306,69.7841,29.7196,0.0711,9.99999999999e-05,2.3463,10.9767,56.3842,True,1306,,,,,1306
HiddenCover,64,64,14,1306,65.4604,30.9051,0.0717,0.0015999999999999,2.1653,11.0071,52.20869999999999,True,1306,,,,,1306
HiddenCover,64,64,15,1306,59.6659,29.189300000000003,0.0581,9.99999999999e-05,1.8014,11.8865,45.916,True,1306,,,,,1306
HiddenCover,64,64,16,1306,63.7968,34.022200000000005,0.0508999999999999,0.0001999999999999,1.9436,10.8348,50.9641,True,1306,,,,,1306
HiddenCover,64,64,17,1306,60.5532,28.001,0.0912999999999999,0.0001999999999999,2.6394,11.4239,46.3913,True,1306,,,,,1306
HiddenCover,64,64,18,1306,58.8927,29.8086,0.0543,9.99999999999e-05,1.931,12.661,44.240300000000005,True,1306,,,,,1306
HiddenCover,64,64,19,1306,64.36210000000001,29.3799,0.0586999999999999,9.99999999999e-05,1.8043,12.3372,50.1572,True,1306,,,,,1306
HiddenCover,64,64,20,1306,61.7681,29.8081,0.0601,0.0001999999999999,2.4284,12.519,46.7551,True,1306,,,,,1306
HiddenCover,64,64,21,1306,59.4962,34.3286,0.0549,9.99999999999e-05,1.9427,11.5613,45.9334,True,1306,,,,,1306
HiddenCover,64,64,22,1306,57.9475,29.5627,0.055,0.0001999999999999,1.9206,11.7541,44.2144,True,1306,,,,,1306
HiddenCover,64,64,23,1306,61.5694,29.6631,0.0569,9.99999999999e-05,1.8726,12.3857,47.2506,True,1306,,,,,1306
HiddenCover,64,64,24,1306,60.5148,29.5971,0.0545999999999999,0.0005,1.9545,10.8766,47.6247,True,1306,,,,,1306
