scheme,capacity,revoked,distribution,workload_seed,measurement,cover_nodes,holder_upload_bytes,holder_download_bytes,holder_compute_ms,server_per_holder_ms,verified,zero_semantics
ALLOSAUR,16384,3000,not_applicable,,15,,13950,14025,76.97057469985876,949.0145,True,none
ALLOSAUR,16384,3000,not_applicable,,16,,13950,14025,79.11422053838484,995.3057,True,none
ALLOSAUR,16384,3000,not_applicable,,17,,13950,14025,77.21804599811675,980.9133,True,none
ALLOSAUR,16384,3000,not_applicable,,18,,13950,14025,83.73429311626523,1043.5872,True,none
ALLOSAUR,16384,3000,not_applicable,,19,,13950,14025,87.70569303672316,961.3228,True,none
ALLOSAUR,16384,3000,not_applicable,,20,,13950,14025,81.29813583535109,945.3276,True,none
ALLOSAUR,16384,3000,not_applicable,,21,,13950,14025,82.65203145865435,990.3822,True,none
ALLOSAUR,16384,3000,not_applicable,,22,,13950,14025,76.95582650454435,1007.4702,True,none
ALLOSAUR,16384,3000,not_applicable,,23,,13950,14025,83.48473619350283,987.2254,True,none
ALLOSAUR,16384,3000,not_applicable,,24,,13950,14025,78.21316870056498,1000.118,True,none
ALLOSAUR,16384,3000,not_applicable,,25,,13950,14025,89.6164820078227,1014.5915,True,none
ALLOSAUR,16384,3000,not_applicable,,26,,13950,14025,85.78122623979912,985.4509,True,none
ALLOSAUR,16384,3000,not_applicable,,27,,13950,14025,80.40420963478611,1010.6307,True,none
ALLOSAUR,16384,3000,not_applicable,,28,,13950,14025,84.7460751996883,962.2425,True,none
ALLOSAUR,16384,3000,not_applicable,,29,,13950,14025,76.46520511299435,952.8474,True,none
ALLOSAUR,16384,10000,not_applicable,,0,,25475,25225,139.23388783783784,3310.089,True,none
ALLOSAUR,16384,10000,not_applicable,,1,,25475,25225,150.34995810810813,3335.8424,True,none
ALLOSAUR,16384,10000,not_applicable,,2,,25475,25225,149.83273333333332,3303.3046,True,none
ALLOSAUR,16384,10000,not_applicable,,3,,25475,25225,147.47382702702703,3354.3397,True,none
ALLOSAUR,16384,10000,not_applicable,,4,,25475,25225,152.3081916216216,3403.1427,True,none
ALLOSAUR,16384,10000,not_applicable,,5,,25475,25225,150.45952522522524,3383.4977,True,none
ALLOSAUR,16384,10000,not_applicable,,6,,25475,25225,174.57899594594593,3356.096,True,none
ALLOSAUR,16384,10000,not_applicable,,7,,25475,25225,146.31535405405407,3331.4645,True,none
ALLOSAUR,16384,10000,not_applicable,,8,,25475,25225,140.64991246246248,3248.5735,True,none
ALLOSAUR,16384,10000,not_applicable,,9,,25475,25225,147.0722683783784,3370.3001,True,none
ALLOSAUR,16384,10000,not_applicable,,10,,25475,25225,152.67674729729728,3401.7779,True,none
ALLOSAUR,16384,10000,not_applicable,,11,,25475,25225,154.5289927927928,3340.972,True,none
ALLOSAUR,16384,10000,not_applicable,,12,,25475,25225,145.69631226611227,3322.9739,True,none
ALLOSAUR,16384,10000,not_applicable,,13,,25475,25225,144.3368866795367,3355.8048,True,none
ALLOSAUR,16384,10000,not_applicable,,14,,25475,25225,147.52354252252252,3288.674,True,none
ALLOSAUR,16384,10000,not_applicable,,15,,25475,25225,145.9339847972973,3354.3241,True,none
ALLOSAUR,16384,10000,not_applicable,,16,,25475,25225,138.40940532591415,3321.4146,True,none
ALLOSAUR,16384,10000,not_applicable,,17,,25475,25225,139.1324418918919,3305.0404,True,none
ALLOSAUR,16384,10000,not_applicable,,18,,25475,25225,137.87553143669987,3371.3952,True,none
ALLOSAUR,16384,10000,not_applicable,,19,,25475,25225,137.71974662162162,3381.3649,True,none
ALLOSAUR,16384,10000,not_applicable,,20,,25475,25225,136.2917938867439,3347.7484,True,none
ALLOSAUR,16384,10000,not_applicable,,21,,25475,25225,136.7603221130221,3301.0138,True,none
ALLOSAUR,16384,10000,not_applicable,,22,,25475,25225,139.18333607520563,3431.9089,True,none
ALLOSAUR,16384,10000,not_applicable,,23,,25475,25225,135.67429256756756,3394.4497,True,none
ALLOSAUR,16384,10000,not_applicable,,24,,25475,25225,138.68799837837838,3428.5749,True,none
ALLOSAUR,16384,10000,not_applicable,,25,,25475,25225,135.61470072765073,3349.7472,True,none
ALLOSAUR,16384,10000,not_applicable,,26,,25475,25225,150.76912797797797,3405.9769,True,none
ALLOSAUR,16384,10000,not_applicable,,27,,25475,25225,149.58724054054053,3400.8244,True,none
ALLOSAUR,16384,10000,not_applicable,,28,,25475,25225,145.16574552656104,3313.4829,True,none
ALLOSAUR,16384,10000,not_applicable,,29,,25475,25225,145.35015432432434,3348.9711,True,none
