scheme,capacity,rate,revoked,measurement,public_state_bytes,authority_refresh_ms,token_bytes,verified
zkRevoke,1000000,0.010,10000,8,320016,176.879100,32,true
zkRevoke,1000000,0.010,10000,9,320016,147.180700,32,true
zkRevoke,1000000,0.010,10000,10,320016,149.603300,32,true
zkRevoke,1000000,0.010,10000,11,320016,141.714000,32,true
zkRevoke,1000000,0.010,10000,12,320016,146.051300,32,true
zkRevoke,1000000,0.010,10000,13,320016,146.564700,32,true
zkRevoke,1000000,0.010,10000,14,320016,150.353800,32,true
zkRevoke,1000000,0.010,10000,15,320016,154.015700,32,true
zkRevoke,1000000,0.010,10000,16,320016,147.026100,32,true
zkRevoke,1000000,0.010,10000,17,320016,139.023200,32,true
zkRevoke,1000000,0.010,10000,18,320016,145.751000,32,true
zkRevoke,1000000,0.010,10000,19,320016,151.231900,32,true
zkRevoke,1000000,0.010,10000,20,320016,146.433200,32,true
zkRevoke,1000000,0.010,10000,21,320016,143.178400,32,true
zkRevoke,1000000,0.010,10000,22,320016,150.792300,32,true
zkRevoke,1000000,0.010,10000,23,320016,147.618400,32,true
zkRevoke,1000000,0.010,10000,24,320016,150.924400,32,true
zkRevoke,1000000,0.010,10000,25,320016,148.828100,32,true
zkRevoke,1000000,0.010,10000,26,320016,149.367100,32,true
zkRevoke,1000000,0.010,10000,27,320016,147.556100,32,true
zkRevoke,1000000,0.010,10000,28,320016,162.025200,32,true
zkRevoke,1000000,0.010,10000,29,320016,149.255300,32,true
zkRevoke,1000000,0.050,50000,0,1600016,756.420300,32,true
zkRevoke,1000000,0.050,50000,1,1600016,731.695200,32,true
zkRevoke,1000000,0.050,50000,2,1600016,750.238900,32,true
zkRevoke,1000000,0.050,50000,3,1600016,749.113800,32,true
zkRevoke,1000000,0.050,50000,4,1600016,781.792300,32,true
zkRevoke,1000000,0.050,50000,5,1600016,750.799200,32,true
zkRevoke,1000000,0.050,50000,6,1600016,748.655400,32,true
zkRevoke,1000000,0.050,50000,7,1600016,736.430900,32,true
zkRevoke,1000000,0.050,50000,8,1600016,758.116600,32,true
zkRevoke,1000000,0.050,50000,9,1600016,743.725900,32,true
zkRevoke,1000000,0.050,50000,10,1600016,734.436300,32,true
zkRevoke,1000000,0.050,50000,11,1600016,742.525000,32,true
zkRevoke,1000000,0.050,50000,12,1600016,740.906700,32,true
zkRevoke,1000000,0.050,50000,13,1600016,744.378100,32,true
zkRevoke,1000000,0.050,50000,14,1600016,746.260500,32,true
zkRevoke,1000000,0.050,50000,15,1600016,735.648900,32,true
zkRevoke,1000000,0.050,50000,16,1600016,734.533200,32,true
